event_num,cc,dis,qel,res,xsec
247,True,False,True,False,1.0913732164169725
248,True,False,True,False,1.005214258954846
249,True,False,True,False,1.011797133960519
250,True,False,True,False,1.4182836827026133
251,True,False,True,False,1.4218417127941914
252,True,False,True,False,1.4509409320459092
253,True,False,True,False,1.5184745917044795
254,True,False,True,False,0.0059610962637041244
255,True,False,True,False,1.4128804357106743
256,True,False,True,False,0.029773188743933986
257,True,False,True,False,1.459520633004601
258,True,False,True,False,0.7262560385563015
259,True,False,True,False,1.2921210332272048
260,True,False,True,False,1.4618553236061607
261,True,False,True,False,0.8085382450310913
262,True,False,True,False,1.5170342492350408
263,True,False,True,False,1.0595847364029742
264,True,False,True,False,1.3229754435398533
265,True,False,True,False,0.19432466850311145
266,True,False,True,False,1.2727679642244545
267,True,False,True,False,1.4112959727464334
268,True,False,True,False,1.023729227296794
269,True,False,True,False,1.36743730528495
270,True,False,True,False,1.2089228387569348
271,True,False,True,False,1.383039082527358
272,True,False,True,False,1.48403230470795
273,True,False,True,False,1.2368517408603268
274,True,False,True,False,0.8648913859832621
275,True,False,True,False,1.3619890302109185
276,True,False,True,False,1.191494995388008
277,True,False,True,False,0.26767422023386456
278,True,False,True,False,1.5173811762442706
279,True,False,True,False,1.3708180060899944
280,True,False,True,False,1.4017857277188872
281,True,False,True,False,0.029340218196141743
282,True,False,True,False,1.419343388645064
283,True,False,True,False,0.02081068821693008
284,True,False,True,False,1.0994154300611487
285,True,False,True,False,0.7144744215047782
286,True,False,True,False,0.9315383218558756
287,True,False,True,False,1.3653443636686116
288,True,False,True,False,1.4157459905827492
289,True,False,True,False,1.4436625889783674
290,True,False,True,False,1.0624985901281812
291,True,False,True,False,0.4074695931960239
292,True,False,True,False,1.3679320274358076
293,True,False,True,False,1.4360154092936055
294,True,False,True,False,1.0130993522802612
295,True,False,True,False,0.25360609263793793
296,True,False,True,False,0.02307856972394772
297,True,False,True,False,0.6632708719370134
298,True,False,True,False,1.4909162063769885
299,True,False,True,False,1.4183400972856763
300,True,False,True,False,1.224128573395647
301,True,False,True,False,1.429137412492967
302,True,False,True,False,0.792525037963414
303,True,False,True,False,0.6824921922825272
304,True,False,True,False,1.0260717384478983
305,True,False,True,False,0.3798091123662118
306,True,False,True,False,1.2146993706895737
307,True,False,True,False,0.03782929046674183
308,True,False,True,False,1.2997716695805361
309,True,False,True,False,1.1802189288090246
310,True,False,True,False,1.3106425809228914
311,True,False,True,False,1.3897996001492519
312,True,False,True,False,1.101945101978098
313,True,False,True,False,1.4817397705240143
314,True,False,True,False,1.495856927434395
315,True,False,True,False,1.3566680101491033
316,True,False,True,False,1.141902014958324
317,True,False,True,False,1.1503058341773513
318,True,False,True,False,1.1460796440742658
319,True,False,True,False,0.011093832032410034
320,True,False,True,False,1.4223024926958228
321,True,False,True,False,0.04873711786435157
322,True,False,True,False,1.2717823906708687
323,True,False,True,False,0.16726954818772471
324,True,False,True,False,1.4650313508097754
325,True,False,True,False,1.120093049882504
326,True,False,True,False,1.4867812000481286
327,True,False,True,False,0.38058712789762866
328,True,False,True,False,0.8227925898769728
329,True,False,True,False,1.3446767094619723
330,True,False,True,False,1.3496110780739605
331,True,False,True,False,0.7681569305077237
332,True,False,True,False,0.9076675269670597
333,True,False,True,False,0.0454543301849157
334,True,False,True,False,0.33387677508162217
335,True,False,True,False,0.28421951093750236
336,True,False,True,False,1.3816079960506658
337,True,False,True,False,1.3958831905274682
338,True,False,True,False,0.8914140605988019
339,True,False,True,False,1.531378548615111
340,True,False,True,False,1.3359288924202972
341,True,False,True,False,1.3950031028573986
342,True,False,True,False,1.4056517625728475
343,True,False,True,False,1.4919267008245471
344,True,False,True,False,1.4655848374792786
345,True,False,True,False,1.2269270846641949
346,True,False,True,False,1.242059285396945
347,True,False,True,False,1.4578400682965835
348,True,False,True,False,1.4615256160730863
349,True,False,True,False,0.8761411981061411
350,True,False,True,False,0.9348324091962599
351,True,False,True,False,0.9718286135714743
352,True,False,True,False,1.466317580694903
353,True,False,True,False,1.2821599508794443
354,True,False,True,False,0.8917357831031372
355,True,False,True,False,1.2159514205395374
356,True,False,True,False,1.2713421270238108
357,True,False,True,False,1.3862516634781683
358,True,False,True,False,1.3134276223308388
359,True,False,True,False,1.354962919414569
360,True,False,True,False,1.2976890050058696
361,True,False,True,False,0.36009227560496654
362,True,False,True,False,1.5019505846020575
363,True,False,True,False,1.3396593474522163
364,True,False,True,False,1.0388749782149063
365,True,False,True,False,1.1158676572816906
366,True,False,True,False,0.39614466380508234
367,True,False,True,False,1.2570786438012373
368,True,False,True,False,0.04529931975364516
369,True,False,True,False,0.007631615392062294
370,True,False,True,False,1.2728760831252635
371,True,False,True,False,1.053342593621322
372,True,False,True,False,1.1533110627466896
373,True,False,True,False,1.1140146119877146
374,True,False,True,False,1.5207665016801046
375,True,False,True,False,1.4988305021957629
376,True,False,True,False,1.399095055870468
377,True,False,True,False,1.2354970681541637
378,True,False,True,False,0.03205532737194159
379,True,False,True,False,1.411757999207602
380,True,False,True,False,0.6876404827715595
381,True,False,True,False,1.2837946066989638
382,True,False,True,False,0.8415619858593103
383,True,False,True,False,1.4512020760696385
384,True,False,True,False,0.9529010112876843
385,True,False,True,False,1.1105421886027698
386,True,False,True,False,1.407152506411854
387,True,False,False,True,2.587195141680183
388,True,False,True,False,0.48810561322998597
389,True,False,False,True,0.5544433019040478
390,True,False,False,True,0.39584367503153806
391,True,False,True,False,3.5031659046565866
392,True,False,False,True,3.463116270078858
393,True,False,True,False,2.2501049454101625
394,True,False,False,True,0.16968475001904934
395,True,False,True,False,2.5196897647912024
396,True,False,False,True,0.12411414419446454
397,True,False,True,False,4.176981500594619
398,True,False,False,True,2.804378632616398
399,True,False,False,True,0.8203570639530686
400,True,False,False,True,0.8877549201514437
401,True,False,False,True,2.2831516613107907
402,True,False,False,True,0.18127973429023456
403,True,True,False,False,4.766132587601462
404,True,False,True,False,2.645863598352288
405,True,False,False,True,2.8024682598010573
406,True,False,True,False,2.020199878375253
407,True,False,False,True,0.735881720530539
408,True,False,True,False,3.7161681713756627
409,True,False,True,False,1.9806655590430302
410,True,False,False,True,0.3673465387250888
