# pdg,pid,reco_coszen,reco_energy,true_energy,true_coszen,weight
13,1,-0.700,27.7,252.782942,0.736795,4.252683e-08
13,1,0.500,27.7,278.211150,0.727918,3.729934e-08
13,0,0.100,15.6,217.155921,0.533879,3.169428e-08
13,0,0.900,27.7,223.251952,0.554818,3.111211e-08
13,0,0.100,15.6,184.367041,0.469445,2.317519e-08
13,0,0.900, 6.6,195.685519,0.549287,2.728515e-08
13,1,0.500,15.6,180.402714,0.309075,5.332776e-09
13,1,-0.100,15.6,240.554932,0.549394,3.087144e-08
13,1,0.300,27.7,240.580877,0.517092,3.074430e-08
13,1,0.500,49.2,374.219454,0.456094,1.774752e-08
13,1,0.900,49.2,257.712616,0.474009,1.507270e-08
13,1,0.100,49.2,280.480720,0.513768,2.827918e-08
13,0,0.700,20.7,187.877768,0.514953,1.594028e-08
13,0,0.300,11.7,182.278364,0.455281,2.278134e-08
13,0,-0.500,49.2,256.160848,0.495702,3.462431e-08
13,0,-0.100,20.7,185.486586,0.409736,2.053970e-08
13,0,-0.300,20.7,188.677497,0.491228,1.783273e-08
13,0,0.900,27.7,281.830198,0.475064,3.093879e-08
13,0,-0.100,36.9,253.607383,0.692840,4.131202e-08
13,0,-0.700,15.6,233.388188,0.633096,4.443105e-08
13,0,0.900,27.7,247.855508,0.562165,3.677441e-08
13,1,0.900,27.7,206.893507,0.619748,2.482879e-08
13,1,0.500,36.9,229.897131,0.377381,1.836098e-08
13,0,-0.300,20.7,266.049998,0.497612,3.113683e-08
13,0,0.700,27.7,489.091993,0.226884,3.922384e-09
13,0,0.500,15.6,240.517266,0.667199,4.176285e-08
13,0,0.900,20.7,209.783475,0.491442,1.884428e-08
13,0,0.300,27.7,196.827815,0.596899,2.881936e-08
13,0,-0.500, 8.7,290.206996,0.675877,3.703572e-08
13,1,0.900,27.7,230.649220,0.627365,4.401490e-08
13,0,0.900,11.7,196.523997,0.423529,2.078656e-08
13,0,0.300,49.2,389.538089,0.416553,2.459906e-08
13,0,0.700,49.2,267.079528,0.651180,3.071885e-08
13,0,0.900,27.7,171.694957,0.338252,7.248961e-09
13,1,-0.100,49.2,204.134845,0.414369,1.954335e-08
13,0,0.300,27.7,224.241092,0.443722,2.507163e-08
13,0,0.900,15.6,204.492590,0.441480,2.427977e-08
13,1,-0.700,27.7,189.755488,0.396391,1.932073e-08
13,0,0.500,27.7,246.301532,0.585094,3.563922e-08
13,0,0.900,20.7,324.819828,0.968565,7.970429e-08
13,1,0.900,49.2,268.750399,0.662639,3.707530e-08
13,0,0.500, 8.7,207.853315,0.653929,4.123486e-08
13,0,0.500,20.7,231.141968,0.668784,3.691297e-08
13,0,0.700,49.2,303.590443,0.685993,3.637190e-08
13,0,0.500,36.9,300.082652,0.653197,3.929796e-08
13,0,-0.500,36.9,177.696002,0.485938,1.535914e-08
13,0,0.500,27.7,268.204497,0.769542,5.505946e-08
13,0,0.300,15.6,242.930580,0.414274,2.532320e-08
13,1,0.100,27.7,180.316170,0.395144,1.117645e-08
13,0,0.100,15.6,282.220791,0.360519,2.006611e-08
13,0,-0.500,20.7,214.594389,0.644975,3.794281e-08
13,1,0.700,36.9,263.156159,0.589066,2.995849e-08
13,1,0.900,36.9,242.439374,0.467849,1.684991e-08
13,0,0.900,49.2,232.134718,0.575727,3.271540e-08
13,0,-0.700,27.7,263.325792,0.357753,1.769768e-08
13,1,0.100,36.9,233.418225,0.572161,3.098395e-08
13,1,0.700,20.7,258.832503,0.629286,2.976572e-08
13,0,0.300,27.7,234.737814,0.641361,3.600990e-08
13,0,-0.500,15.6,207.905637,0.557709,2.803806e-08
13,0,0.700,27.7,248.985630,0.600460,3.596652e-08
13,0,-0.900,15.6,246.278258,0.357502,1.560975e-08
13,1,0.100,36.9,230.068363,0.499337,2.596229e-08
13,1,-0.500,36.9,278.690794,0.574541,3.412865e-08
13,1,0.500,36.9,249.960320,0.550595,3.469075e-08
13,1,0.700,20.7,391.430283,0.674361,3.284298e-08
13,1,0.900,27.7,327.582571,0.510046,2.070826e-08
13,1,0.500,27.7,255.300455,0.582161,3.138050e-08
13,1,0.100,15.6,238.470354,0.705529,4.726150e-08
13,1,0.700,36.9,450.360732,0.734020,4.235553e-08
13,1,0.700,27.7,178.483482,0.494267,2.426432e-08
13,1,-0.700,15.6,411.854296,0.732568,5.479597e-08
13,0,-0.100,27.7,284.882154,0.693287,3.919033e-08
